2048 22665
178 1372 14
1812 686 18
1171 1534 -5
701 283 11
333 1291 -3
1114 717 16
1757 503 1
1238 1130 -1
1094 2042 -3
1387 955 11
2015 1179 -9
492 1614 -10
1558 1778 -6
182 800 12
863 334 -2
228 1411 8
328 1409 16
1950 1722 10
2032 1 16
915 253 4
1094 153 -7
511 491 -2
229 1900 4
727 912 4
614 873 -3
483 645 1
378 909 -7
245 1245 1
1076 1659 11
897 212 -3
1344 1120 -7
1589 895 5
768 1295 -8
1398 1773 -1
457 223 5
956 1142 -8
939 1206 -2
1350 821 5
1428 572 10
169 979 19
1197 817 -3
1044 563 12
58 860 17
1394 676 17
874 1675 -8
1953 922 13
2010 151 12
383 1570 6
1206 885 15
898 1681 -3
1985 942 -1
1799 1049 16
1190 1505 16
1701 325 5
1117 13 17
298 151 11
408 2017 0
262 1969 8
99 834 -2
79 215 13
1668 704 -8
1453 1451 12
1855 1468 14
192 1903 0
132 1633 19
1258 50 18
188 1991 -7
1923 1464 3
929 727 16
724 503 -6
499 1735 3
378 1661 -3
736 70 -4
1535 1833 8
1912 1716 8
190 1512 17
1933 249 4
636 1156 0
1219 981 -8
1079 680 -2
966 451 -5
1301 1435 13
1244 192 -5
1407 1127 14
1098 1178 3
713 1637 20
74 1169 0
249 874 -6
1410 368 9
134 1030 2
1084 1385 -6
1068 1417 18
1999 340 1
1829 222 1
1784 809 18
1636 1106 4
1814 1993 3
1962 2007 -9
1412 1648 -4
1931 120 19
393 1638 -1
956 746 -10
1683 2002 -10
324 1665 -6
439 1711 16
1634 243 0
1714 857 6
1608 175 -8
2006 1586 11
255 1718 -5
434 1088 3
1029 558 6
1615 228 -2
144 1840 12
1368 1262 18
628 1919 -10
1419 1468 -6
1827 1826 13
322 1840 -4
1595 36 20
764 400 14
1434 2011 3
28 186 19
259 1420 20
1901 1072 7
417 1349 1
1540 2016 -10
1050 832 4
141 961 -3
1005 818 1
58 1168 1
331 1102 17
441 603 -9
694 1512 -8
523 403 14
1533 502 -5
10 484 11
1142 490 -2
766 516 8
1162 1939 7
1439 558 4
1762 1799 17
576 1808 11
2017 1995 6
43 1359 -7
1577 680 18
845 495 -2
1374 1785 -2
1728 1600 10
107 1366 17
2016 1570 15
232 1754 -10
733 1465 -6
380 1929 11
796 2030 -7
1868 1911 -9
182 331 18
729 440 11
506 792 5
729 338 -3
707 190 7
1002 925 13
1269 1505 7
1596 1235 5
1163 1452 12
1658 1735 -5
1779 1092 -7
413 756 -1
176 350 13
883 101 19
1398 1902 19
1530 811 8
1598 1254 7
990 1617 15
1540 1405 13
706 663 -9
304 1917 -1
537 859 1
1236 1405 5
436 110 2
579 1822 6
1881 1751 17
185 927 3
1274 934 3
511 1890 4
355 872 0
82 443 9
896 1506 1
770 670 13
1158 270 -7
1138 8 10
1946 1951 0
1934 314 3
1499 1646 2
973 538 -3
982 414 -5
1621 852 -7
448 1376 14
996 1051 -8
541 1939 -9
643 149 16
658 1726 -2
818 1101 -2
272 15 -1
780 594 16
937 362 -7
151 1215 2
928 1451 0
1335 997 -7
1176 160 1
1027 335 -6
1775 1397 -4
1642 1357 11
165 1406 -2
1127 1503 -8
614 1695 -7
312 1028 4
1671 2000 19
1752 219 14
1559 1893 -8
424 1568 7
1118 544 -9
773 1514 13
852 831 15
1223 941 5
1015 1277 12
218 1266 -4
912 1607 -5
1903 585 -8
832 1419 0
885 338 14
373 492 7
89 1792 1
1289 843 3
1352 1371 7
69 1752 19
353 617 4
1533 299 9
399 1551 -2
1397 30 -2
1048 768 6
479 1488 7
1781 796 -2
134 935 9
1423 454 -8
1288 1827 -2
1921 1819 18
1319 989 1
1377 1303 0
1568 1305 0
453 1028 1
904 1689 5
1025 1482 -9
1051 1990 18
1866 2037 17
768 1354 0
1093 654 -10
1142 1188 7
1077 1571 10
738 615 19
1075 1411 13
1459 1824 16
1086 32 -3
1436 22 0
267 24 1
529 101 15
210 846 -2
528 1053 12
660 292 8
1680 620 -6
1158 1699 -10
1846 1288 -5
426 326 -6
548 579 14
1983 1182 -2
1522 1179 3
1544 384 18
312 1437 17
671 1417 15
1331 889 -10
1874 18 20
358 1946 5
50 1520 6
1100 533 16
1381 1940 -10
371 216 12
1753 1377 -6
1942 729 18
994 1110 17
400 1722 15
501 356 -3
838 405 16
1272 1020 1
1999 1526 -2
216 189 -1
138 1066 7
1905 852 8
1251 1124 -5
1768 736 -3
234 118 -9
1023 1658 10
1308 1541 -10
276 1972 -8
990 897 18
1479 1838 -3
417 337 -3
1147 908 20
683 1513 8
558 1396 4
1518 1734 18
602 866 8
1666 394 7
994 1645 19
1425 1965 15
1334 1366 12
1242 1138 3
1324 1397 3
1568 46 0
842 357 3
1549 1283 -2
1396 893 12
381 150 16
563 1645 18
561 873 0
1557 169 -1
1101 486 0
2009 1889 15
57 1086 17
610 1069 2
1206 416 5
1184 1224 13
843 123 -7
1784 1636 -3
1367 205 8
719 1659 16
611 1698 20
1093 305 12
140 594 1
1856 414 9
1576 297 -8
88 666 -4
2019 1140 17
1865 1759 -9
269 1577 14
1003 1441 3
985 424 20
2025 1261 -10
1451 1094 10
1710 1381 3
2009 1183 3
566 827 9
1886 225 7
1748 1658 14
1653 913 -2
262 246 -3
286 892 17
2019 645 -8
486 1737 3
988 1092 4
1694 620 6
1207 538 15
1217 1648 -9
788 1470 4
938 1221 1
216 217 -8
1787 926 17
337 1070 12
1469 1410 -2
1277 1990 -6
799 157 16
1575 1164 16
993 1012 18
736 489 13
1997 1152 -3
1540 566 15
204 1388 -2
1091 1830 -1
374 1508 17
868 879 13
823 1067 15
322 350 0
85 260 3
1332 1562 5
128 1929 7
474 1989 19
1713 1283 17
1670 183 20
1410 357 -10
1722 1157 3
848 1140 16
886 926 16
436 1228 -6
1353 148 8
1086 1326 1
1883 1657 4
128 492 -7
759 466 19
1471 846 11
50 1543 15
1253 826 -2
967 1894 14
401 908 12
838 1550 12
848 2017 -10
28 89 19
614 194 -9
1828 929 6
1462 1901 20
1475 115 -8
1952 185 12
1726 915 11
1525 697 1
65 1877 6
1358 1077 5
477 315 11
620 1558 3
1118 1496 15
1127 1604 19
1739 361 1
216 188 -4
754 1444 -3
1861 1730 9
321 1447 5
881 1396 -8
1774 1811 -9
1636 1072 1
654 947 -5
1092 134 15
684 327 19
347 182 8
1800 1340 -1
723 1760 -10
123 137 4
26 1653 -1
1208 989 10
2026 648 5
613 1764 10
100 1809 -3
1856 1366 7
964 68 1
1347 769 20
911 638 -10
1295 1041 20
606 646 11
771 325 11
123 266 10
